orgUnitPath,orgUnitId,name,parentOrgUnitId
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/06 клас,id:03ph8a2z3v71dqj,06 клас,id:03ph8a2z3z5h3es
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/07 клас,id:03ph8a2z0rtaa56,07 клас,id:03ph8a2z3z5h3es
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/08 клас,id:03ph8a2z1y936uf,08 клас,id:03ph8a2z3z5h3es
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/09 клас,id:03ph8a2z1n928cs,09 клас,id:03ph8a2z3z5h3es
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/10 клас,id:03ph8a2z4h7jh0u,10 клас,id:03ph8a2z3z5h3es
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/11 клас,id:03ph8a2z0phly65,11 клас,id:03ph8a2z3z5h3es
/05. 🔍 ЗАГУБЛЕНІ,id:03ph8a2z0ufoshx,05. 🔍 ЗАГУБЛЕНІ,id:03ph8a2z0zbln2u
/06. 🏫 АДМІНІСТРАЦІЯ ШКОЛИ,id:03ph8a2z420wz6w,06. 🏫 АДМІНІСТРАЦІЯ ШКОЛИ,id:03ph8a2z0zbln2u
/07. 👩‍🏫 ВЧИТЕЛІ,id:03ph8a2z45xceq9,07. 👩‍🏫 ВЧИТЕЛІ,id:03ph8a2z0zbln2u
/08. 🛠️ СИСТЕМНІ АДМІНІСТРАТОРИ,id:03ph8a2z3p82uuz,08. 🛠️ СИСТЕМНІ АДМІНІСТРАТОРИ,id:03ph8a2z0zbln2u
/09. 📱 ПЛАНШЕТИ NIVELUNG,id:03ph8a2z19zqiq0,09. 📱 ПЛАНШЕТИ NIVELUNG,id:03ph8a2z0zbln2u
/10. 📜 ВИПУСКНИКИ 2026,id:03ph8a2z41983an,10. 📜 ВИПУСКНИКИ 2026,id:03ph8a2z0zbln2u
