alias,name,owner
09_9B_Ger_26,09. 9-Б клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_IstUkr_26,09. 9-Б клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_VsesIst_26,09. 9-Б клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Prav_26,09. 9-Б клас. Основи правознавства (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Alg_26,09. 9-Б клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Geo_26,09. 9-Б клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Bio_26,09. 9-Б клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Geogr_26,09. 9-Б клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Fiz_26,09. 9-Б клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Him_26,09. 9-Б клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Inf_26,09. 9-Б клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Myst_26,09. 9-Б клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Tech_26,09. 9-Б клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Zdor_26,09. 9-Б клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_FizKul_26,09. 9-Б клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Hryst_26,09. 9-Б клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_UkrMova_26,09. 9-В клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_UkrLit_26,09. 9-В клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_ZarLit_26,09. 9-В клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Eng_26,09. 9-В клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Ger_26,09. 9-В клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_IstUkr_26,09. 9-В клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_VsesIst_26,09. 9-В клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Prav_26,09. 9-В клас. Основи правознавства (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Alg_26,09. 9-В клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Geo_26,09. 9-В клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Bio_26,09. 9-В клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Geogr_26,09. 9-В клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Fiz_26,09. 9-В клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Him_26,09. 9-В клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Inf_26,09. 9-В клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Myst_26,09. 9-В клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Tech_26,09. 9-В клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Zdor_26,09. 9-В клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_FizKul_26,09. 9-В клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9V_Hryst_26,09. 9-В клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_UkrMova_26,09. 9-Г клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_UkrLit_26,09. 9-Г клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_ZarLit_26,09. 9-Г клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Eng_26,09. 9-Г клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Ger_26,09. 9-Г клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_IstUkr_26,09. 9-Г клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_VsesIst_26,09. 9-Г клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Prav_26,09. 9-Г клас. Основи правознавства (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Alg_26,09. 9-Г клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Geo_26,09. 9-Г клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Bio_26,09. 9-Г клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Geogr_26,09. 9-Г клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Fiz_26,09. 9-Г клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Him_26,09. 9-Г клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Inf_26,09. 9-Г клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Myst_26,09. 9-Г клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Tech_26,09. 9-Г клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Zdor_26,09. 9-Г клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_FizKul_26,09. 9-Г клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9G_Hryst_26,09. 9-Г клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
