alias,name,owner
07_7B_Bio_26,07. 7-Б клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Geogr_26,07. 7-Б клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Fiz_26,07. 7-Б клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Him_26,07. 7-Б клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Inf_26,07. 7-Б клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Myst_26,07. 7-Б клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Tech_26,07. 7-Б клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Zdor_26,07. 7-Б клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_FizKul_26,07. 7-Б клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Hryst_26,07. 7-Б клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_UkrMova_26,07. 7-В клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_UkrLit_26,07. 7-В клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_ZarLit_26,07. 7-В клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Eng_26,07. 7-В клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Ger_26,07. 7-В клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_IstUkr_26,07. 7-В клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_VsesIst_26,07. 7-В клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Alg_26,07. 7-В клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Geo_26,07. 7-В клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Bio_26,07. 7-В клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Geogr_26,07. 7-В клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Fiz_26,07. 7-В клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Him_26,07. 7-В клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Inf_26,07. 7-В клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Myst_26,07. 7-В клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Tech_26,07. 7-В клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Zdor_26,07. 7-В клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_FizKul_26,07. 7-В клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7V_Hryst_26,07. 7-В клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_UkrMova_26,07. 7-Г клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_UkrLit_26,07. 7-Г клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_ZarLit_26,07. 7-Г клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Eng_26,07. 7-Г клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Ger_26,07. 7-Г клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_IstUkr_26,07. 7-Г клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_VsesIst_26,07. 7-Г клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Alg_26,07. 7-Г клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Geo_26,07. 7-Г клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Bio_26,07. 7-Г клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Geogr_26,07. 7-Г клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Fiz_26,07. 7-Г клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Him_26,07. 7-Г клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Inf_26,07. 7-Г клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Myst_26,07. 7-Г клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Tech_26,07. 7-Г клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Zdor_26,07. 7-Г клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_FizKul_26,07. 7-Г клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7G_Hryst_26,07. 7-Г клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
