alias,name,owner
08_8V_Fiz_26,08. 8-В клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Him_26,08. 8-В клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Inf_26,08. 8-В клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Myst_26,08. 8-В клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Tech_26,08. 8-В клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Zdor_26,08. 8-В клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_FizKul_26,08. 8-В клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Hryst_26,08. 8-В клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_UkrMova_26,08. 8-Г клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_UkrLit_26,08. 8-Г клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_ZarLit_26,08. 8-Г клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Eng_26,08. 8-Г клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Ger_26,08. 8-Г клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_IstUkr_26,08. 8-Г клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_VsesIst_26,08. 8-Г клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Alg_26,08. 8-Г клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Geo_26,08. 8-Г клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Bio_26,08. 8-Г клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Geogr_26,08. 8-Г клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Fiz_26,08. 8-Г клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Him_26,08. 8-Г клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Inf_26,08. 8-Г клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Myst_26,08. 8-Г клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Tech_26,08. 8-Г клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Zdor_26,08. 8-Г клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_FizKul_26,08. 8-Г клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8G_Hryst_26,08. 8-Г клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
